SENT_ID	MDD	NDD	MAXIMUM_TREE_DEPTH	#_OF_TOKENS	#_OF_CLAUSES	#_OF_T-UNITS	CLAUSES_PER_T-UNIT
ssj100.646.2476	2.6666666666666665	0.11778303565638351	5	13	2	2	1.0
elexiswsd1.1310.sl.132130	1.8333333333333333	1.0944628872607622	3	8	1	1	1.0
ssj152.1030.3857	2.0833333333333335	1.0577902941478545	5	16	2	2	1.0
ssj47.317.1297	1.3333333333333333	0.2616240718822739	3	5	1	1	1.0
ssj356.2062.7288	1.6666666666666667	1.078201291407982	4	8	1	1	1.0
ssj80.525.1981	3.5	1.3437154569497374	7	35	3	2	1.5
ssj70.439.1679	2.1666666666666665	1.0956449209082024	3	8	1	1	1.0
ssj370.2128.7572	2.4285714285714284	1.125372650366672	4	19	3	2	1.5
ssj285.1755.6238	2.7333333333333334	1.1532221911660576	5	20	3	1	3.0
ssj61.377.1505	1.8	0.9100794718748765	3	7	1	1	1.0
ssj130.820.3080	2.0	1.1756876285817388	3	9	1	1	1.0
ssj148.1019.3824	2.3793103448275863	1.915449529050561	7	32	3	2	1.5
ssj228.1516.5506	4.5625	1.3136095211593628	5	22	2	2	1.0
ssj133.850.3260	2.65625	1.854564886377383	7	36	3	2	1.5
ssj178.1206.4400	3.1538461538461537	1.6317181062649928	5	30	4	3	1.3333333333333333
elexiswsd1.489.sl.131306	2.1	1.1025023823275908	3	12	1	1	1.0
ssj193.1281.4631	2.888888888888889	1.1363526166509568	3	13	1	1	1.0
ssj343.2007.7129	2.6097560975609757	1.793409000208583	9	47	4	3	1.3333333333333333
elexiswsd1.221.sl.131037	1.8	1.3682248378119541	4	12	1	1	1.0
ssj239.1573.5693	1.4	1.017552863929892	3	7	1	1	1.0
ssj142.931.3564	4.0	0.2350018146228678	4	15	4	2	2.0
ssj149.1021.3828	3.3684210526315788	1.611800485941094	5	26	1	1	1.0
ssj72.455.1717	3.185185185185185	1.182555183312931	5	31	4	3	1.3333333333333333
ssj284.1751.6227	1.6666666666666667	1.5607417394297756	4	11	1	1	1.0
ssj154.1052.3940	2.6666666666666665	1.3602363605503838	5	21	2	1	2.0
ssj456.2507.8850	2.8333333333333335	0.5475730403458116	6	17	3	1	3.0
ssj30.184.743	3.15	1.2463434185534814	8	50	3	2	1.5
ssj296.1807.6399	3.0625	1.7893240041107565	7	55	4	2	2.0
ssj46.300.1214	4.0	1.7882751345700083	7	31	2	1	2.0
ssj370.2130.7583	1.0	0.8958797346140274	3	5	2	1	2.0
ssj29.176.709	2.4482758620689653	1.8868761566065053	6	32	2	2	1.0
ssj76.498.1865	2.111111111111111	1.3911186576778065	5	11	1	1	1.0
ssj456.2510.8880	3.5	1.9933569490148677	6	52	1	1	1.0
ssj64.404.1570	5.285714285714286	0.0010944914986908772	5	27	1	1	1.0
ssj279.1734.6142	1.5714285714285714	1.3256889070016495	4	9	1	1	1.0
elexiswsd1.884.sl.131703	3.090909090909091	0.966362119195422	5	13	1	1	1.0
ssj256.1647.5926	2.375	1.4171766582473135	6	19	1	1	1.0
elexiswsd1.192.sl.131008	2.5789473684210527	1.4977932451666909	7	23	4	2	2.0
ssj161.1090.4058	2.3333333333333335	1.0883026450667417	8	28	1	1	1.0
ssj116.731.2756	5.384615384615385	0.9852231552628367	4	17	2	1	2.0
ssj201.1357.4906	2.1666666666666665	1.0185695809945732	3	8	1	1	1.0
ssj133.858.3290	3.5555555555555554	1.149629628012232	4	21	2	2	1.0
ssj203.1362.4940	4.235294117647059	0.777872853285319	6	22	3	1	3.0
ssj300.1819.6442	3.0625	2.242684644539759	7	39	4	1	4.0
ssj36.213.870	1.3333333333333333	0.9547712524422192	3	5	1	1	1.0
ssj27.159.652	1.75	1.1732521634644406	9	20	4	2	2.0
ssj465.2532.8999	2.25	0.5753641449035618	6	21	5	2	2.5
ssj152.1034.3867	2.4	0.0707497811368496	3	8	2	1	2.0
ssj342.1995.7085	4.4	0.5655677401868349	6	18	2	1	2.0
ssj440.2414.8485	2.857142857142857	1.0744254965260018	4	18	2	1	2.0
ssj247.1598.5803	3.4285714285714284	0.8921039397320473	4	19	3	1	3.0
ssj144.965.3680	2.0	1.3195286648076292	3	11	2	1	2.0
ssj91.600.2262	3.090909090909091	1.718400817583559	7	38	2	2	1.0
ssj18.75.287	1.9	1.2025858408845735	4	12	1	1	1.0
ssj203.1361.4928	2.6	0.6539264674066639	9	30	6	2	3.0
ssj253.1632.5880	2.7777777777777777	1.1166818119760462	4	13	1	1	1.0
ssj324.1919.6839	1.4	1.1613939001557827	3	7	1	1	1.0
ssj360.2080.7361	2.5294117647058822	1.6399124468877846	5	20	2	2	1.0
ssj47.319.1306	3.392156862745098	1.7174019291163665	9	59	5	2	2.5
ssj53.332.1361	3.793103448275862	1.04361055974724	7	36	4	1	4.0
ssj465.2531.8995	2.375	0.5212969236332861	4	11	2	1	2.0
ssj383.2184.7750	2.25	1.4712438795175893	4	14	1	1	1.0
ssj70.439.1680	2.75	0.7212670397213834	3	11	2	1	2.0
ssj99.638.2457	1.5	0.49041462650586304	2	4	1	1	1.0
ssj334.1977.7022	1.6666666666666667	1.078201291407982	3	8	1	1	1.0
elexiswsd1.1558.sl.132383	2.111111111111111	1.2472776214519161	5	11	1	1	1.0
ssj118.753.2844	2.75	0.3184537311185346	3	8	1	1	1.0
ssj142.931.3566	2.48	1.0477529425371823	8	31	5	1	5.0
ssj18.79.307	3.3	2.074423330323218	6	36	2	1	2.0
ssj142.933.3571	2.95	1.3119407010392945	5	26	6	1	6.0
ssj80.525.1982	2.4285714285714284	0.9815316141407815	6	17	4	2	2.0
ssj417.2326.8195	2.0	0.0	3	6	1	1	1.0
elexiswsd1.913.sl.131732	1.75	1.02941112723855	4	10	1	1	1.0
ssj374.2152.7642	2.2666666666666666	0.5357147770371538	6	18	2	1	2.0
ssj451.2477.8688	2.0	0.5493061443340547	2	5	1	1	1.0
ssj93.618.2346	1.9	1.3141576165416782	5	13	1	1	1.0
ssj126.800.3025	2.2	1.4025559569726707	4	13	3	1	3.0
ssj237.1563.5655	3.7142857142857144	1.270206597995588	6	41	5	3	1.6666666666666667
ssj345.2013.7149	2.6538461538461537	1.346185482994909	6	30	7	6	1.1666666666666667
ssj457.2514.8907	2.772727272727273	1.6769823623611853	4	24	2	2	1.0
ssj436.2402.8432	1.5	1.530135397345781	4	10	2	1	2.0
ssj27.143.580	1.8571428571428572	1.1586348223384833	3	9	1	1	1.0
ssj95.625.2400	2.9285714285714284	1.2179690022462368	4	17	3	1	3.0
ssj465.2531.8993	1.5714285714285714	1.3256889070016495	4	9	1	1	1.0
ssj131.826.3130	2.8518518518518516	1.4958296117668373	6	32	4	3	1.3333333333333333
ssj406.2264.7982	2.823529411764706	1.1833379613934834	6	20	3	2	1.5
elexiswsd1.703.sl.131521	3.0454545454545454	1.5831636071435307	6	30	4	2	2.0
ssj82.538.2046	3.125	0.9400072584914712	5	19	1	1	1.0
ssj12.44.198	3.2941176470588234	0.7737744696832298	4	20	3	3	1.0
ssj38.227.917	2.1739130434782608	1.1377919087455513	10	29	6	2	3.0
ssj470.2551.9079	2.2941176470588234	0.5862583699546778	6	20	2	1	2.0
elexiswsd1.692.sl.131510	2.1	1.5606477482646683	4	16	1	1	1.0
ssj142.951.3630	1.0	0.34657359027997275	2	3	1	1	1.0
ssj38.234.943	1.7692307692307692	1.5166487764802057	6	15	1	1	1.0
elexiswsd1.56.sl.130870	1.8181818181818181	1.4058295918606152	5	13	1	1	1.0
ssj282.1741.6185	2.272727272727273	1.3509221588570117	4	14	2	1	2.0
ssj69.435.1659	2.9166666666666665	0.17201191319258682	5	18	3	2	1.5
ssj131.839.3211	1.5	0.49041462650586304	2	4	1	1	1.0
ssj47.316.1280	2.5555555555555554	1.4027959749691796	5	22	3	2	1.5
ssj20.91.384	3.25	0.7569455091122993	4	17	2	1	2.0
ssj369.2104.7478	1.8333333333333333	1.0944628872607622	3	11	2	1	2.0
ssj456.2509.8873	3.769230769230769	1.1980570629756788	5	30	4	1	4.0
elexiswsd1.583.sl.131400	1.5	0.8369882167858357	4	8	1	1	1.0
ssj233.1539.5566	2.15	1.7053533691650808	7	24	4	2	2.0
ssj161.1098.4075	2.3636363636363638	1.537694007575259	5	14	2	1	2.0
ssj77.505.1896	3.3333333333333335	0.6993584405592239	5	11	2	1	2.0
ssj69.431.1646	2.7586206896551726	1.6418721848334858	6	32	4	2	2.0
ssj142.927.3541	1.0	0.0	2	3	1	1	1.0
ssj169.1154.4231	2.8461538461538463	0.2365061235480805	5	18	1	1	1.0
ssj415.2314.8166	1.4	1.1613939001557827	3	7	1	1	1.0
ssj346.2019.7164	3.9523809523809526	1.534237409908427	8	47	4	3	1.3333333333333333
ssj233.1540.5576	2.230769230769231	1.578740494873941	4	17	3	1	3.0
ssj144.989.3737	2.2	0.7094087764127253	5	15	2	2	1.0
elexiswsd1.288.sl.131104	1.8	0.9100794718748765	3	7	1	1	1.0
ssj315.1885.6709	1.4285714285714286	1.165586274922979	4	9	2	2	1.0
ssj358.2068.7321	2.3076923076923075	0.9955327988642046	4	17	3	3	1.0
ssj192.1265.4577	2.5625	1.7648396814629932	5	18	1	1	1.0
ssj428.2376.8352	2.769230769230769	1.4628527341353803	4	15	1	1	1.0
ssj459.2519.8940	2.0	1.0074515102711326	3	8	1	1	1.0
ssj199.1329.4803	3.6666666666666665	0.20067069546215105	4	12	2	1	2.0
ssj226.1476.5381	1.9285714285714286	1.6357042029462154	5	17	2	1	2.0
ssj465.2534.9004	1.75	0.6828375369585774	3	7	1	1	1.0
ssj456.2510.8889	2.0	1.7631802623080808	7	20	3	1	3.0
ssj236.1562.5648	1.875	1.1042592919774892	4	10	1	1	1.0
elexiswsd1.1125.sl.131944	2.4444444444444446	0.754100556980068	3	12	2	1	2.0
ssj483.2603.9272	1.4285714285714286	1.4209990868059745	3	9	1	1	1.0
ssj121.779.2949	3.55	1.5133932120204394	4	24	3	2	1.5
ssj15.71.280	1.75	0.48010498290449527	3	6	1	1	1.0
ssj284.1751.6229	2.0	1.6044127445073497	5	13	1	1	1.0
ssj312.1878.6689	3.5483870967741935	1.1436476214952482	6	39	6	4	1.5
ssj374.2148.7632	1.5714285714285714	0.867543541064572	4	9	1	1	1.0
ssj295.1805.6390	2.125	1.1818287030775654	3	11	1	1	1.0
elexiswsd1.1578.sl.132403	2.0	1.5622825726984797	4	15	1	1	1.0
ssj93.615.2329	2.9	1.1851940981727043	7	35	6	3	2.0
ssj325.1940.6901	2.5714285714285716	0.9243732003008327	3	10	1	1	1.0
ssj230.1531.5547	2.6666666666666665	1.5440987506130424	5	16	2	1	2.0
ssj221.1453.5272	2.076923076923077	1.7028797166849987	8	30	5	2	2.5
ssj144.1001.3774	2.761904761904762	1.7888153247694836	6	27	3	1	3.0
elexiswsd1.144.sl.130960	3.5	1.1886379927978175	7	27	4	2	2.0
elexiswsd1.166.sl.130982	2.0	0.752038698388137	6	12	2	2	1.0
ssj61.378.1515	2.5833333333333335	1.3919850588649638	4	15	3	1	3.0
ssj144.1009.3803	2.75	0.23085241321552022	6	16	2	1	2.0
ssj94.620.2359	1.0	0.6931471805599453	2	4	1	1	1.0
ssj445.2428.8513	3.2857142857142856	0.2166289923461797	4	13	1	1	1.0
ssj401.2246.7932	1.5714285714285714	1.0702760951186543	5	10	1	1	1.0
ssj205.1379.5002	5.545454545454546	0.1674573646957828	4	17	1	1	1.0
ssj377.2166.7686	4.035714285714286	0.617492536830438	6	35	3	3	1.0
ssj383.2186.7762	2.55	1.2549199581666062	6	22	1	1	1.0
ssj414.2304.8122	2.5789473684210527	1.564558941478952	4	22	3	3	1.0
ssj204.1372.4974	1.625	1.2473601356181625	4	10	1	1	1.0
ssj242.1583.5727	2.2	1.25871492074678	6	17	2	2	1.0
ssj20.93.394	1.8888888888888888	1.1557707025080584	5	11	3	2	1.5
ssj201.1347.4860	5.383333333333334	1.0570117006704398	6	72	10	7	1.4285714285714286
ssj335.1979.7030	2.8	1.7107000444898375	6	25	3	1	3.0
ssj346.2016.7158	2.1875	1.8860097006010266	5	21	5	1	5.0
ssj204.1374.4981	2.1333333333333333	1.4010583550706388	6	22	2	2	1.0
ssj412.2287.8072	2.090909090909091	0.8079222835483788	4	13	1	1	1.0
ssj476.2576.9178	2.0833333333333335	1.5482049206537176	6	16	1	1	1.0
ssj27.150.629	2.411764705882353	1.922542310499907	6	20	2	1	2.0
ssj413.2296.8100	4.580645161290323	0.7444598934605133	8	38	6	2	3.0
ssj6.34.131	1.5	0.49041462650586304	2	4	1	1	1.0
ssj194.1311.4734	1.8	0.7662384356489861	3	7	1	1	1.0
ssj161.1096.4070	1.0	0.34657359027997275	2	3	1	1	1.0
ssj132.845.3239	3.6774193548387095	2.003809273507197	6	35	4	1	4.0
ssj188.1238.4502	2.2941176470588234	1.868733048685446	5	19	1	1	1.0
elexiswsd1.127.sl.130943	2.125	0.6325225587435105	4	10	1	1	1.0
ssj402.2249.7941	3.6666666666666665	0.14590289481782148	6	25	3	2	1.5
ssj27.161.657	2.6666666666666665	1.5244883940364018	4	20	3	2	1.5
ssj20.91.381	2.0	0.9547712524422192	4	12	2	2	1.0
ssj178.1210.4410	3.9375	1.4323550289962472	4	20	3	3	1.0
elexiswsd1.725.sl.131543	2.111111111111111	1.3243529613655454	3	11	1	1	1.0
ssj163.1120.4136	2.3333333333333335	1.5708430930885353	9	28	3	1	3.0
ssj242.1585.5737	2.8095238095238093	0.489246212679415	7	25	2	2	1.0
ssj383.2182.7746	2.2	0.7094087764127253	4	13	3	3	1.0
ssj77.506.1904	2.111111111111111	1.3911186576778065	4	11	1	1	1.0
elexiswsd1.599.sl.131416	3.1176470588235294	0.626101692812175	6	20	2	2	1.0
ssj3.8.27	2.5714285714285716	1.3480221304944344	4	19	4	4	1.0
ssj118.765.2888	1.4	1.1613939001557827	3	7	1	1	1.0
ssj27.143.579	1.8	1.1128120259289587	3	7	1	1	1.0
ssj230.1532.5550	3.0	1.4543604482821806	4	17	3	2	1.5
ssj76.490.1834	2.0	0.752038698388137	3	9	2	1	2.0
ssj149.1022.3832	2.3846153846153846	1.4531576025470767	5	16	2	1	2.0
ssj220.1448.5243	2.5	1.2991176675475016	4	17	2	2	1.0
ssj233.1539.5571	5.08	1.1354191973407326	5	29	2	1	2.0
ssj111.704.2648	4.5625	1.737258451352965	6	54	4	3	1.3333333333333333
elexiswsd1.1111.sl.131930	3.1739130434782608	0.4127818827453333	9	26	2	1	2.0
ssj446.2434.8540	2.888888888888889	0.037740327982847086	4	16	1	1	1.0
ssj86.578.2191	4.2	0.2837919787922998	5	16	1	1	1.0
ssj35.207.839	3.1	1.118502723674032	4	12	1	1	1.0
ssj6.34.143	1.0	0.0	2	3	1	1	1.0
ssj84.556.2120	3.0	0.5674899664194922	4	17	3	2	1.5
ssj310.1866.6614	1.5	0.49041462650586304	2	4	1	1	1.0
ssj125.792.3005	1.5	1.1835618070658083	4	8	1	1	1.0
ssj81.528.1997	7.882352941176471	0.30144619358661456	4	45	1	1	1.0
ssj214.1418.5160	1.6	1.2305950615853423	5	12	1	1	1.0
ssj301.1829.6473	2.260869565217391	1.724952679839954	9	28	2	1	2.0
ssj192.1264.4575	2.5	0.8754687373538999	6	23	4	2	2.0
ssj134.877.3358	2.710526315789474	1.7946053258875994	9	43	5	2	2.5
ssj54.340.1386	3.1666666666666665	1.409302479763244	3	15	2	1	2.0
ssj465.2535.9008	3.4166666666666665	0.5630940523117476	4	15	2	1	2.0
ssj94.620.2365	3.0	0.7702225204735745	3	9	1	1	1.0
elexiswsd1.976.sl.131795	1.75	1.5198257537444133	7	18	1	1	1.0
elexiswsd1.347.sl.131163	3.7142857142857144	0.00734227584146049	5	10	1	1	1.0
ssj448.2452.8581	3.0	1.0397207708399179	6	21	2	1	2.0
ssj467.2539.9020	1.9230769230769231	0.6285482113241043	5	15	1	1	1.0
ssj42.248.992	2.5	0.8165772195257083	6	20	2	1	2.0
ssj118.748.2818	1.3333333333333333	1.0663430280993242	3	7	1	1	1.0
ssj284.1746.6209	2.8	0.12167312931586473	4	13	3	2	1.5
ssj111.698.2629	5.84	1.6364665848220197	7	40	2	1	2.0
ssj203.1360.4923	2.4166666666666665	1.4586764333636362	4	15	2	1	2.0
ssj225.1469.5350	4.428571428571429	1.2480582814059045	6	18	2	1	2.0
ssj47.317.1296	1.25	1.0193097735797902	3	6	1	1	1.0
ssj193.1270.4599	3.272727272727273	0.5626301150755006	5	13	1	1	1.0
ssj116.733.2759	3.85	0.9545119446943529	6	25	2	1	2.0
ssj38.227.915	3.1176470588235294	1.6961347745603104	6	24	3	2	1.5
ssj134.880.3375	2.6	1.2943933901376963	5	20	5	4	1.25
elexiswsd1.1063.sl.131882	2.0	1.5622825726984797	5	15	1	1	1.0
ssj388.2220.7855	1.7	1.1699704397689072	6	13	2	1	2.0
ssj226.1473.5362	2.076923076923077	1.5245422447156325	5	16	1	1	1.0
ssj377.2168.7694	3.3260869565217392	1.5172431295582574	9	68	8	6	1.3333333333333333
ssj384.2195.7785	1.4285714285714286	1.3094273111488697	4	9	1	1	1.0
ssj81.532.2027	3.65	1.0078579253996456	6	24	4	3	1.3333333333333333
ssj449.2457.8592	2.076923076923077	1.2447343507479212	6	17	4	2	2.0
ssj473.2564.9131	3.076923076923077	0.7078507264124236	4	16	2	2	1.0
ssj383.2183.7749	3.0	1.7664376028186777	6	32	3	2	1.5
ssj409.2276.8035	2.2	0.3628351861327527	5	15	2	2	1.0
ssj309.1858.6579	3.4375	0.9562688543442512	5	20	3	1	3.0
ssj370.2118.7534	2.3125	1.3526841269324976	7	20	2	1	2.0
ssj102.659.2521	2.380952380952381	1.8060531976540113	5	26	4	2	2.0
ssj53.327.1334	4.936507936507937	2.577255487103548	9	72	7	4	1.75
elexiswsd1.12.sl.130825	1.8333333333333333	0.9828911116036572	3	8	1	1	1.0
elexiswsd1.1207.sl.132026	3.6785714285714284	1.8087636559812525	5	31	2	2	1.0
elexiswsd1.371.sl.131187	2.0	1.46559687620821	5	18	2	1	2.0
ssj412.2285.8066	1.0	0.6931471805599453	3	6	1	1	1.0
ssj116.724.2712	1.4	1.017552863929892	4	7	2	1	2.0
ssj143.963.3673	2.2	0.01626159585277994	3	6	1	1	1.0
ssj40.240.957	3.0	1.1167961107535471	5	26	1	1	1.0
ssj476.2576.9180	3.1875	2.0458505304985386	7	37	3	1	3.0
elexiswsd1.965.sl.131784	2.6666666666666665	1.6479184330021646	5	27	5	4	1.25
ssj222.1462.5302	3.608695652173913	1.782266852874122	6	28	3	2	1.5
ssj82.541.2063	3.59375	1.92589121541956	6	42	4	1	4.0
ssj29.179.723	1.8	0.7662384356489861	3	7	1	1	1.0
ssj73.463.1741	2.533333333333333	0.9737952862609843	5	18	2	1	2.0
ssj64.406.1578	1.4	1.017552863929892	4	7	1	1	1.0
ssj195.1315.4745	1.6666666666666667	1.2809338454620642	5	11	2	1	2.0
ssj142.957.3656	1.0	0.0	2	3	1	1	1.0
ssj391.2225.7873	3.1904761904761907	1.4018118080340864	5	24	3	3	1.0
ssj12.44.196	2.8095238095238093	1.1823933932393602	6	25	3	2	1.5
ssj459.2516.8915	3.3	1.1563177144237735	4	12	1	1	1.0
elexiswsd1.1152.sl.131971	2.0	1.2628643221541278	5	13	1	1	1.0
ssj343.2003.7108	1.875	1.1042592919774892	4	10	1	1	1.0
ssj404.2256.7962	5.052631578947368	0.14768972271817532	5	32	1	1	1.0
ssj477.2578.9187	1.0	0.34657359027997275	2	3	1	1	1.0
ssj42.251.1002	2.1538461538461537	1.4881746005447578	5	17	2	1	2.0
ssj484.2605.9274	3.406779661016949	1.5061484383594488	9	70	6	3	2.0
ssj375.2154.7648	2.3333333333333335	0.048581874226823765	3	9	2	2	1.0
ssj133.874.3348	2.9583333333333335	1.309119824697653	6	28	4	3	1.3333333333333333
ssj344.2010.7142	2.5454545454545454	1.3043591698622699	5	28	1	1	1.0
elexiswsd1.25.sl.130838	1.7	1.3138114759947979	5	14	1	1	1.0
ssj156.1068.3984	2.357142857142857	1.2667973891734579	5	18	1	1	1.0
ssj413.2303.8121	3.4285714285714284	1.3502493056691247	6	40	6	4	1.5
ssj406.2264.7986	2.0	1.242453324894	5	15	2	1	2.0
elexiswsd1.636.sl.131453	1.6666666666666667	0.7316277011280093	3	8	2	2	1.0
ssj343.2003.7116	2.6	1.091660836083614	5	17	2	2	1.0
ssj20.91.375	2.8484848484848486	1.2507727042637713	8	38	4	2	2.0
ssj341.1990.7068	2.111111111111111	1.2472776214519161	4	11	1	1	1.0
ssj238.1569.5686	3.3846153846153846	2.0759102476416187	8	60	6	3	2.0
ssj46.287.1152	2.7777777777777777	1.2282535876331513	3	11	1	1	1.0
ssj378.2170.7703	2.7096774193548385	1.6931190824120623	9	37	3	1	3.0
ssj134.877.3360	3.4814814814814814	1.3734155912641464	8	33	5	2	2.5
ssj480.2593.9251	2.5238095238095237	1.289638923592958	7	25	1	1	1.0
ssj38.232.931	3.2941176470588234	0.5710419156291475	5	26	5	3	1.6666666666666667
elexiswsd1.768.sl.131586	2.4166666666666665	1.3997849155354445	4	14	1	1	1.0
ssj247.1598.5801	2.0	1.0986122886681098	4	8	2	1	2.0
ssj284.1746.6213	1.5	0.6342556627317537	3	5	2	1	2.0
ssj77.505.1891	3.0454545454545454	0.9811772049805627	5	25	2	2	1.0
ssj379.2171.7710	3.2	1.0867540253594516	4	12	1	1	1.0
ssj125.792.3006	1.9	1.4823937348522849	4	12	1	1	1.0
elexiswsd1.1278.sl.132097	2.230769230769231	1.519848977045749	4	15	2	1	2.0
elexiswsd1.1142.sl.131961	2.2777777777777777	1.3151327506998844	5	22	2	1	2.0
ssj318.1900.6779	2.68	1.17292726224539	8	30	4	2	2.0
ssj344.2008.7133	2.3157894736842106	1.4371877910484496	5	23	3	3	1.0
elexiswsd1.354.sl.131170	1.5	1.1835618070658083	4	10	1	1	1.0
ssj98.628.2417	2.2	1.3702866964038851	6	18	1	1	1.0
ssj75.474.1777	3.5714285714285716	1.2890163138887418	7	28	3	2	1.5
ssj79.516.1951	3.9166666666666665	1.9407795654944875	7	33	7	2	3.5
ssj453.2494.8765	2.0	0.11157177565710491	3	8	2	1	2.0
ssj374.2147.7629	2.8461538461538463	1.4354537599472659	5	17	2	1	2.0
elexiswsd1.1049.sl.131868	2.125	1.0906679246805882	3	10	1	1	1.0
ssj451.2477.8685	1.5	0.49041462650586304	2	4	1	1	1.0
ssj204.1367.4966	2.3333333333333335	1.493767753174906	6	22	3	2	1.5
ssj367.2100.7466	4.6923076923076925	1.056078836826623	6	15	1	1	1.0
ssj121.780.2955	2.125	1.1818287030775654	3	12	3	1	3.0
ssj212.1408.5109	3.1333333333333333	1.4944023786740248	4	17	1	1	1.0
ssj82.545.2079	2.0	0.5493061443340547	2	5	1	1	1.0
ssj129.817.3074	3.2857142857142856	0.33267715198787506	5	26	6	5	1.2
ssj446.2435.8555	3.5555555555555554	1.029048599603788	3	13	2	1	2.0
ssj152.1038.3881	1.6666666666666667	1.1370928092361738	5	12	2	1	2.0
ssj121.777.2934	5.854166666666667	2.012886574085059	9	54	3	1	3.0
elexiswsd1.995.sl.131814	2.24	1.6988417811811793	7	30	3	1	3.0
ssj118.764.2881	2.375	1.4171766582473135	5	19	2	1	2.0
ssj58.356.1431	4.515151515151516	1.1366947708682886	5	47	1	1	1.0
elexiswsd1.1092.sl.131911	2.1875	1.4994147564842855	6	20	3	2	1.5
ssj53.331.1353	1.0	0.8958797346140274	3	4	1	1	1.0
ssj253.1628.5874	4.083333333333333	1.0779930014653742	6	30	4	1	4.0
ssj452.2491.8751	1.3333333333333333	1.3013448427221919	3	8	2	2	1.0
ssj70.441.1686	2.25	0.778096698957644	5	13	2	1	2.0
elexiswsd1.1283.sl.132102	4.230769230769231	1.2263852120797247	4	17	1	1	1.0
ssj226.1483.5403	2.0	1.4451858789480823	4	15	2	1	2.0
elexiswsd1.142.sl.130958	2.111111111111111	1.156116843054939	4	11	1	1	1.0
ssj369.2111.7498	2.888888888888889	1.8294997972109022	5	23	2	1	2.0
ssj470.2551.9080	1.5714285714285714	0.867543541064572	4	9	1	1	1.0
ssj153.1041.3913	2.0	1.8253291206468694	8	25	2	1	2.0
ssj42.253.1012	2.3333333333333335	1.0560333844979564	5	20	4	2	2.0
ssj215.1427.5178	2.1538461538461537	1.064525670351156	5	16	2	1	2.0
elexiswsd1.65.sl.130879	2.2222222222222223	1.4513971389473608	5	23	2	1	2.0
ssj114.714.2679	2.7666666666666666	1.9254087895906353	6	33	2	1	2.0
ssj355.2060.7283	2.8181818181818183	0.7121618490464644	4	15	3	2	1.5
ssj142.918.3514	3.066666666666667	0.23343390516422002	4	19	3	2	1.5
ssj226.1488.5415	2.625	0.7677870553562762	4	10	1	1	1.0
ssj75.487.1823	2.375	0.8678705139132589	3	11	1	1	1.0
ssj95.623.2381	2.6842105263157894	1.727286160919335	5	24	4	1	4.0
ssj111.696.2625	1.7142857142857142	0.9832647181290245	4	9	1	1	1.0
ssj54.347.1404	2.0	1.3784201826358211	4	10	1	1	1.0
ssj437.2404.8443	2.0	1.3940464543878732	5	17	4	1	4.0
ssj42.247.984	2.9523809523809526	1.132796452099988	6	25	4	1	4.0
ssj67.421.1609	2.52	1.783791299578878	6	28	3	2	1.5
ssj217.1441.5224	2.0555555555555554	1.6205194588140501	6	22	3	1	3.0
