sent_id	measure	referee	stark	syntcomplex	type
ssj54.341.1389	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj54.350.1416	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj54.350.1416	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj58.357.1433	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj58.357.1433	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj61.376.1503	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj61.376.1503	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj63.392.1552	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj63.392.1552	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj68.425.1623	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj68.425.1623	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj73.459.1730	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj73.459.1730	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj75.471.1764	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj75.471.1764	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj76.497.1862	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj76.497.1862	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj79.517.1958	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj79.517.1958	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj80.525.1986	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj80.525.1986	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj82.535.2033	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj82.535.2033	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj84.554.2101	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj84.554.2101	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj85.558.2130	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj85.558.2130	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj85.563.2146	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj85.563.2146	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj93.612.2321	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj93.612.2321	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj94.620.2358	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj94.620.2358	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj94.620.2360	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj94.620.2360	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj95.622.2375	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj95.622.2375	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj98.628.2415	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj98.628.2415	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj98.628.2418	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj98.628.2418	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj98.629.2424	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj98.629.2424	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj105.673.2557	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj105.673.2557	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj106.677.2568	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj106.677.2568	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj110.690.2606	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj110.690.2606	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj110.691.2610	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj110.691.2610	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj114.712.2673	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj114.712.2673	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj118.747.2812	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj118.747.2812	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj118.753.2842	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj118.753.2842	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj118.756.2852	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj118.756.2852	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj121.780.2963	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj121.780.2963	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj126.802.3034	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj126.802.3034	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj131.826.3144	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj131.826.3144	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj131.827.3159	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj131.827.3159	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj131.828.3162	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj131.828.3162	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj131.831.3181	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj131.831.3181	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj133.853.3273	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj133.853.3273	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj133.870.3339	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj133.870.3339	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj133.874.3347	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj133.874.3347	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj142.918.3512	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj142.918.3512	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj142.918.3515	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj142.918.3515	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj142.926.3540	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj142.926.3540	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj142.928.3548	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj142.928.3548	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj144.989.3734	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj144.989.3734	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj172.1180.4309	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj172.1180.4309	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj192.1257.4560	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj192.1257.4560	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj193.1284.4641	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj193.1284.4641	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj193.1290.4665	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj193.1290.4665	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj204.1368.4970	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj204.1368.4970	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj211.1399.5074	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj211.1399.5074	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj214.1415.5147	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj214.1415.5147	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj214.1417.5156	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj214.1417.5156	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj215.1433.5191	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj215.1433.5191	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj216.1436.5203	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj216.1436.5203	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj216.1438.5213	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj216.1438.5213	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj220.1452.5270	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj220.1452.5270	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj231.1537.5564	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj231.1537.5564	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj279.1729.6126	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj279.1729.6126	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj289.1770.6295	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj289.1770.6295	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj289.1771.6297	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj289.1771.6297	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj338.1984.7049	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj338.1984.7049	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj344.2008.7134	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj344.2008.7134	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj360.2075.7348	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj360.2075.7348	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj366.2097.7437	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj366.2097.7437	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj370.2116.7518	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj370.2116.7518	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj382.2176.7729	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj382.2176.7729	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj383.2180.7738	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj383.2180.7738	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj409.2273.8028	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj409.2273.8028	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj438.2408.8459	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj438.2408.8459	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj440.2410.8466	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj440.2410.8466	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
